file,threshold_m,kept_points,total_points,kept_pct,true_distance_mi,adjusted_distance_mi,distance_error_mi,distance_abs_error_mi,distance_abs_pct_error,distance_pct_error,true_gain_ft,adjusted_gain_ft,gain_error_ft,gain_abs_error_ft,gain_abs_pct_error,gain_pct_error
moran.gpx,16,1445,44899,3.2183344840642327,20.0,15.091109296945215,-4.9088907030547855,4.9088907030547855,24.54445351527393,-24.54445351527393,6000.0,6404.527763999997,404.52776399999675,404.52776399999675,6.742129399999945,6.742129399999945
moran.gpx,17,1362,44899,3.03347513307646,20.0,15.06196100992966,-4.938038990070339,4.938038990070339,24.690194950351696,-24.690194950351696,6000.0,6353.674743999996,353.6747439999963,353.6747439999963,5.894579066666605,5.894579066666605
moran.gpx,18,1282,44899,2.8552974453774027,20.0,14.962978627521345,-5.037021372478655,5.037021372478655,25.185106862393276,-25.185106862393276,6000.0,6309.383403999994,309.3834039999938,309.3834039999938,5.156390066666563,5.156390066666563
moran.gpx,19,1215,44899,2.7060736319294416,20.0,14.94018091852397,-5.05981908147603,5.05981908147603,25.29909540738015,-25.29909540738015,6000.0,6306.1025639999925,306.1025639999925,306.1025639999925,5.1017093999998755,5.1017093999998755
moran.gpx,20,1152,44899,2.5657587028664333,20.0,14.889863762116622,-5.110136237883378,5.110136237883378,25.550681189416892,-25.550681189416892,6000.0,6260.170803999997,260.1708039999967,260.1708039999967,4.336180066666611,4.336180066666611
moran.gpx,21,1099,44899,2.4477159847658077,20.0,14.858888205572914,-5.141111794427086,5.141111794427086,25.705558972135435,-25.705558972135435,6000.0,6278.543507999996,278.5435079999961,278.5435079999961,4.642391799999935,4.642391799999935
moran.gpx,22,1052,44899,2.343036593242611,20.0,14.873716108498733,-5.1262838915012665,5.1262838915012665,25.631419457506333,-25.631419457506333,6000.0,6296.260043999998,296.26004399999783,296.26004399999783,4.937667399999964,4.937667399999964
moran.gpx,23,1005,44899,2.2383572017194147,20.0,14.847667489613475,-5.152332510386525,5.152332510386525,25.76166255193263,-25.76166255193263,6000.0,6326.115687999995,326.1156879999953,326.1156879999953,5.435261466666589,5.435261466666589
moran.gpx,24,961,44899,2.1403594734849327,20.0,14.796913276536785,-5.203086723463215,5.203086723463215,26.015433617316074,-26.015433617316074,6000.0,6220.800723999997,220.800723999997,220.800723999997,3.6800120666666167,3.6800120666666167
moran.gpx,25,926,44899,2.062406735116595,20.0,14.822223956162755,-5.177776043837245,5.177776043837245,25.888880219186223,-25.888880219186223,6000.0,6296.58812799999,296.5881279999903,296.5881279999903,4.943135466666505,4.943135466666505
moran.gpx,26,891,44899,1.984453996748257,20.0,14.829209604481512,-5.1707903955184875,5.1707903955184875,25.853951977592438,-25.853951977592438,6000.0,6286.4175239999995,286.4175239999995,286.4175239999995,4.773625399999991,4.773625399999991
moran.gpx,27,854,44899,1.9020468161874429,20.0,14.742101653236487,-5.257898346763513,5.257898346763513,26.289491733817567,-26.289491733817567,6000.0,6168.635367999992,168.635367999992,168.635367999992,2.8105894666665336,2.8105894666665336
moran.gpx,28,826,44899,1.8396846254927726,20.0,14.76350091247421,-5.2364990875257895,5.2364990875257895,26.18249543762895,-26.18249543762895,6000.0,6263.123559999994,263.12355999999363,263.12355999999363,4.385392666666561,4.385392666666561
moran.gpx,29,792,44899,1.7639591082206731,20.0,14.664008457275468,-5.335991542724532,5.335991542724532,26.67995771362266,-26.67995771362266,6000.0,6136.811219999999,136.81121999999868,136.81121999999868,2.280186999999978,2.280186999999978
moran.gpx,30,769,44899,1.712733023007194,20.0,14.702437100054674,-5.297562899945326,5.297562899945326,26.487814499726632,-26.487814499726632,6000.0,6138.779723999995,138.77972399999544,138.77972399999544,2.312995399999924,2.312995399999924
disappointment.gpx,0,16227,16227,100.0,13.0,16.35526696544088,3.3552669654408795,3.3552669654408795,25.809745888006763,25.809745888006763,5000.0,5433.727208000008,433.72720800000843,433.72720800000843,8.674544160000169,8.674544160000169
disappointment.gpx,1,11465,16227,70.65384852406483,13.0,15.962630958431323,2.9626309584313226,2.9626309584313226,22.789468911010175,22.789468911010175,5000.0,5425.853192000008,425.85319200000777,425.85319200000777,8.517063840000155,8.517063840000155
disappointment.gpx,2,7047,16227,43.427620632279535,13.0,15.639159065474207,2.6391590654742068,2.6391590654742068,20.30122358057082,20.30122358057082,5000.0,5380.905684000005,380.90568400000484,380.90568400000484,7.618113680000096,7.618113680000096
disappointment.gpx,3,5995,16227,36.94459850865841,13.0,15.502790290052708,2.502790290052708,2.502790290052708,19.252233000405447,19.252233000405447,5000.0,5369.094660000007,369.094660000007,369.094660000007,7.381893200000141,7.381893200000141
disappointment.gpx,4,4748,16227,29.25987551611512,13.0,15.38769663463636,2.3876966346363595,2.3876966346363595,18.36689718951046,18.36689718951046,5000.0,5360.236392000004,360.23639200000434,360.23639200000434,7.204727840000087,7.204727840000087
disappointment.gpx,5,3857,16227,23.7690269304246,13.0,15.269188238474515,2.2691882384745146,2.2691882384745146,17.45529414211165,17.45529414211165,5000.0,5345.472612000007,345.47261200000685,345.47261200000685,6.909452240000137,6.909452240000137
disappointment.gpx,6,3278,16227,20.200899735009553,13.0,15.222820927367271,2.2228209273672714,2.2228209273672714,17.09862251820978,17.09862251820978,5000.0,5339.8951840000045,339.8951840000045,339.8951840000045,6.797903680000091,6.797903680000091
disappointment.gpx,7,2864,16227,17.649596351759413,13.0,15.135106747906846,2.135106747906846,2.135106747906846,16.42389806082189,16.42389806082189,5000.0,5330.7088320000075,330.70883200000753,330.70883200000753,6.614176640000151,6.614176640000151
